#RUF_ID	Strand	EMBLAccession	ExpressionRank
RUF_131439_131497 	 + 	 AE017225 	 4
RUF_3622719_3622821 	 + 	 AE017225 	 7
RUF_115934_116050 	 + 	 AE017225 	 8
RUF_106996_107065 	 + 	 AE017225 	 11
RUF_123734_123796 	 + 	 AE017225 	 12
RUF_132892_132962 	 + 	 AE017225 	 24
RUF_84130_84195 	 + 	 AE017225 	 26
RUF_3300338_3300556 	 + 	 AE017225 	 69
RUF_120763_120963 	 + 	 AE017225 	 83
RUF_4733484_4733534 	 + 	 AE017225 	 89
RUF_138995_139149 	 + 	 AE017225 	 94
RUF_3604842_3604933 	 + 	 AE017225 	 107
RUF_3826286_3826612 	 + 	 AE017225 	 109
RUF_1224435_1224572 	 + 	 AE017225 	 118
RUF_4402019_4402166 	 + 	 AE017225 	 125
RUF_119257_119376 	 + 	 AE017225 	 132
RUF_1155029_1155158 	 + 	 AE017225 	 133
RUF_4001722_4001811 	 + 	 AE017225 	 134
RUF_4631928_4631999 	 + 	 AE017225 	 137
RUF_116971_117180 	 + 	 AE017225 	 138
RUF_5040548_5040669 	 + 	 AE017225 	 140
RUF_1273285_1273436 	 + 	 AE017225 	 143
RUF_4329164_4329244 	 + 	 AE017225 	 152
RUF_105393_105572 	 + 	 AE017225 	 156
RUF_3826012_3826102 	 + 	 AE017225 	 174
RUF_134129_134311 	 + 	 AE017225 	 183
RUF_5063028_5063147 	 + 	 AE017225 	 230
RUF_4403280_4403702 	 + 	 AE017225 	 243
RUF_359347_359403 	 + 	 AE017225 	 300
RUF_107423_107499 	 + 	 AE017225 	 339
RUF_4967742_4968262 	 + 	 AE017225 	 359
RUF_5044775_5044833 	 + 	 AE017225 	 366
RUF_3825891_3826090 	 + 	 AE017225 	 369
RUF_3659216_3659318 	 + 	 AE017225 	 414
RUF_5074649_5074761 	 + 	 AE017225 	 429
RUF_1014336_1014551 	 + 	 AE017225 	 575
RUF_3872119_3872446 	 + 	 AE017225 	 728
RUF_3666894_3666965 	 + 	 AE017225 	 766
RUF_5076873_5076981 	 + 	 AE017225 	 886
RUF_1016890_1017025 	 + 	 AE017225 	 1320
RUF_2727456_2727511 	 + 	 AE017225 	 1394
RUF_4379674_4379745 	 + 	 AE017225 	 1496
RUF_116972_117180 	 + 	 AE017194 	 34
RUF_5038196_5038316 	 + 	 AE017194 	 62
RUF_120775_120939 	 + 	 AE017194 	 74
RUF_104798_104967 	 + 	 AE017194 	 88
RUF_4776918_4777058 	 + 	 AE017194 	 123
RUF_5211696_5211889 	 - 	 AE017194 	 519
RUF_139648_139830 	 + 	 AE016877 	 16
RUF_3782852_3782954 	 - 	 AE016877 	 32
RUF_110316_110485 	 + 	 AE016877 	 88
RUF_4803926_4804169 	 - 	 AE016877 	 94
RUF_514492_514735 	 + 	 AE016877 	 117
RUF_155613_155847 	 + 	 AE016877 	 118
RUF_86691_86935 	 + 	 AE016877 	 119
RUF_722915_723160 	 + 	 AE016877 	 121
RUF_4519981_4520134 	 - 	 AE016877 	 150
RUF_267882_267944 	 + 	 CP001503 	 19
RUF_258920_259226 	 + 	 CP001503 	 22
RUF_2922073_2922379 	 + 	 CP001503 	 23
RUF_471121_471427 	 + 	 CP001503 	 25
RUF_267086_267386 	 + 	 CP001503 	 32
RUF_76481_76551 	 + 	 CP001503 	 49
RUF_264700_264759 	 + 	 CP001503 	 52
RUF_1614686_1614814 	 + 	 CP001503 	 62
RUF_77428_77502 	 + 	 CP001503 	 66
RUF_983874_984012 	 + 	 CP001503 	 70
RUF_403305_403384 	 + 	 CP001503 	 72
RUF_91306_91393 	 + 	 CP001503 	 77
RUF_265812_265957 	 + 	 CP001503 	 91
RUF_2338285_2338475 	 + 	 CP001503 	 94
RUF_2769368_2769979 	 + 	 CP001503 	 95
RUF_73750_73884 	 + 	 CP001503 	 97
RUF_290061_290364 	 + 	 CP001503 	 100
RUF_280574_280749 	 + 	 CP001503 	 101
RUF_1352979_1353191 	 + 	 CP001503 	 106
RUF_1615028_1615088 	 + 	 CP001503 	 108
RUF_3550759_3550912 	 + 	 CP001503 	 118
RUF_297797_297921 	 + 	 CP001503 	 122
RUF_3561349_3561540 	 + 	 CP001503 	 129
RUF_297026_297175 	 + 	 CP001503 	 135
RUF_285131_285307 	 + 	 CP001503 	 137
RUF_285158_285313 	 + 	 CP001503 	 139
RUF_263446_263511 	 + 	 CP001503 	 140
RUF_281218_281339 	 + 	 CP001503 	 142
RUF_284674_284821 	 + 	 CP001503 	 150
RUF_468731_469332 	 + 	 CP001503 	 159
RUF_78895_79040 	 + 	 CP001503 	 163
RUF_256572_257131 	 + 	 CP001503 	 165
RUF_209110_209212 	 + 	 CP001503 	 177
RUF_2924168_2924819 	 + 	 CP001503 	 207
RUF_3280454_3280715 	 + 	 CP001503 	 240
RUF_1051788_1051941 	 + 	 CP001503 	 397
RUF_2904716_2905066 	 + 	 CP001503 	 1144
RUF_3787610_3788183 	 + 	 CP001503 	 1840
RUF_948458_948694 	 + 	 CP001503 	 1968
RUF_3280914_3281100 	 + 	 CP001503 	 2048
