#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01118 	 PK-G12rRNA 	 AE017225 	 78
RF01118 	 PK-G12rRNA 	 AE017225 	 79
RF00559 	 L21_leader 	 AE017225 	 81
RF00023 	 tmRNA 	 AE017225 	 92
RF01118 	 PK-G12rRNA 	 AE017225 	 148
RF01118 	 PK-G12rRNA 	 AE017225 	 151
RF01118 	 PK-G12rRNA 	 AE017225 	 152
RF01118 	 PK-G12rRNA 	 AE017225 	 153
RF01118 	 PK-G12rRNA 	 AE017225 	 154
RF01118 	 PK-G12rRNA 	 AE017225 	 155
RF01118 	 PK-G12rRNA 	 AE017225 	 156
RF01118 	 PK-G12rRNA 	 AE017225 	 160
RF01118 	 PK-G12rRNA 	 AE017225 	 161
RF00557 	 L10_leader 	 AE017225 	 180
RF00011 	 RNaseP_bact_b 	 AE017225 	 200
RF00010 	 RNaseP_bact_a 	 AE017225 	 203
RF01766 	 cspA 	 AE017225 	 205
RF00013 	 6S 	 AE017225 	 307
RF00555 	 L13_leader 	 AE017225 	 326
RF00558 	 L20_leader 	 AE017225 	 340
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 370
RF00002 	 5_8S_rRNA 	 AE017225 	 416
RF00230 	 T-box 	 AE017225 	 467
RF00162 	 SAM 	 AE017225 	 509
RF00167 	 Purine 	 AE017225 	 515
RF00515 	 PyrR 	 AE017225 	 522
RF00556 	 L19_leader 	 AE017225 	 568
RF00002 	 5_8S_rRNA 	 AE017225 	 571
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 574
RF00002 	 5_8S_rRNA 	 AE017225 	 577
RF00002 	 5_8S_rRNA 	 AE017225 	 581
RF00002 	 5_8S_rRNA 	 AE017225 	 583
RF00002 	 5_8S_rRNA 	 AE017225 	 587
RF00002 	 5_8S_rRNA 	 AE017225 	 588
RF00002 	 5_8S_rRNA 	 AE017225 	 590
RF00002 	 5_8S_rRNA 	 AE017225 	 591
RF00002 	 5_8S_rRNA 	 AE017225 	 592
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 596
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 604
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 605
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 608
RF00002 	 5_8S_rRNA 	 AE017225 	 609
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 611
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 618
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 623
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 626
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 634
RF00005 	 tRNA 	 AE017225 	 652
RF00013 	 6S 	 AE017225 	 746
RF00167 	 Purine 	 AE017225 	 751
RF00005 	 tRNA 	 AE017225 	 857
RF01766 	 cspA 	 AE017225 	 899
RF00162 	 SAM 	 AE017225 	 965
RF00379 	 ydaO-yuaA 	 AE017225 	 1026
RF00059 	 TPP 	 AE017225 	 1138
RF00169 	 Bacteria_small_SRP 	 AE017225 	 1148
RF00050 	 FMN 	 AE017225 	 1187
RF00162 	 SAM 	 AE017225 	 1292
RF00167 	 Purine 	 AE017225 	 1526
RF00005 	 tRNA 	 AE017225 	 1534
RF01766 	 cspA 	 AE017225 	 1577
RF00379 	 ydaO-yuaA 	 AE017225 	 1659
RF01854 	 Bacteria_large_SRP 	 AE017225 	 1736
RF00230 	 T-box 	 AE017225 	 1798
RF01067 	 ATPC 	 AE017225 	 1846
RF01051 	 c-di-GMP-I 	 AE017225 	 1899
RF00050 	 FMN 	 AE017225 	 1939
RF00230 	 T-box 	 AE017225 	 2005
RF00230 	 T-box 	 AE017225 	 2028
RF00230 	 T-box 	 AE017225 	 2061
RF00059 	 TPP 	 AE017225 	 2206
RF00230 	 T-box 	 AE017225 	 2324
RF00379 	 ydaO-yuaA 	 AE017225 	 2388
RF00174 	 Cobalamin 	 AE017225 	 2389
RF01411 	 BsrF 	 AE017225 	 2507
RF00168 	 Lysine 	 AE017225 	 2530
RF00162 	 SAM 	 AE017225 	 2531
RF00230 	 T-box 	 AE017225 	 2553
RF00167 	 Purine 	 AE017225 	 2564
RF00162 	 SAM 	 AE017225 	 2680
RF00230 	 T-box 	 AE017225 	 2752
RF00005 	 tRNA 	 AE017225 	 2842
RF00230 	 T-box 	 AE017225 	 2945
RF00005 	 tRNA 	 AE017225 	 2961
RF00005 	 tRNA 	 AE017225 	 2977
RF01730 	 Termite-leu 	 AE017225 	 3157
RF00168 	 Lysine 	 AE017225 	 3308
RF00230 	 T-box 	 AE017225 	 3328
RF00168 	 Lysine 	 AE017225 	 3352
RF00005 	 tRNA 	 AE017225 	 3520
RF01749 	 pan 	 AE017225 	 3564
RF00234 	 glmS 	 AE017225 	 3609
RF00005 	 tRNA 	 AE017225 	 3651
RF00230 	 T-box 	 AE017225 	 3778
RF00005 	 tRNA 	 AE017225 	 3806
RF00230 	 T-box 	 AE017225 	 3859
RF00230 	 T-box 	 AE017225 	 3918
RF00080 	 yybP-ykoY 	 AE017225 	 4005
RF00005 	 tRNA 	 AE017225 	 4006
