#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01720 	 Pseudomon-Rho 	 CP000438 	 1226
RF01356 	 CRISPR-DR28 	 CP000438 	 1227
RF01317 	 CRISPR-DR4 	 CP000438 	 1301
RF01356 	 CRISPR-DR28 	 CP000438 	 1302
RF01734 	 crcB 	 CP000438 	 1303
RF00029 	 Intron_gpII 	 CP000438 	 1304
RF01317 	 CRISPR-DR4 	 CP000438 	 1381
RF01317 	 CRISPR-DR4 	 CP000438 	 1382
RF01676 	 P31 	 CP000438 	 1383
RF01676 	 P31 	 CP000438 	 1384
RF01317 	 CRISPR-DR4 	 CP000438 	 1472
RF01317 	 CRISPR-DR4 	 CP000438 	 1473
RF01317 	 CRISPR-DR4 	 CP000438 	 1474
RF01317 	 CRISPR-DR4 	 CP000438 	 1475
RF01057 	 SAH_riboswitch 	 CP000438 	 1476
RF01356 	 CRISPR-DR28 	 CP000438 	 1591
RF01317 	 CRISPR-DR4 	 CP000438 	 1592
RF00174 	 Cobalamin 	 CP000438 	 1593
RF01683 	 P6 	 CP000438 	 1594
RF00174 	 Cobalamin 	 CP000438 	 1757
RF01317 	 CRISPR-DR4 	 CP000438 	 1758
RF01317 	 CRISPR-DR4 	 CP000438 	 1759
RF01811 	 PtaRNA1 	 CP000438 	 1917
RF01356 	 CRISPR-DR28 	 CP000438 	 1918
RF00174 	 Cobalamin 	 CP000438 	 1919
RF01317 	 CRISPR-DR4 	 CP000438 	 1920
RF01317 	 CRISPR-DR4 	 CP000438 	 1921
RF01356 	 CRISPR-DR28 	 CP000438 	 1922
RF01682 	 P8 	 CP000438 	 1923
RF01356 	 CRISPR-DR28 	 CP000438 	 1924
RF01681 	 P4 	 CP000438 	 1925
RF00005 	 tRNA 	 CP000438 	 1926
RF01356 	 CRISPR-DR28 	 CP000438 	 2141
RF01317 	 CRISPR-DR4 	 CP000438 	 2142
RF01317 	 CRISPR-DR4 	 CP000438 	 2143
RF01317 	 CRISPR-DR4 	 CP000438 	 2144
RF01668 	 P10 	 CP000438 	 2145
RF02221 	 sRNA-Xcc1 	 CP000438 	 2146
RF01356 	 CRISPR-DR28 	 CP000438 	 2147
RF01356 	 CRISPR-DR28 	 CP000438 	 2434
RF01356 	 CRISPR-DR28 	 CP000438 	 2435
RF01317 	 CRISPR-DR4 	 CP000438 	 2436
RF01317 	 CRISPR-DR4 	 CP000438 	 2437
RF00623 	 P1 	 CP000438 	 2438
RF01672 	 P2 	 CP000438 	 2439
RF00043 	 Plasmid_R1162 	 CP000438 	 2440
RF01668 	 P10 	 CP000438 	 2441
RF01366 	 CRISPR-DR53 	 CP000438 	 2442
RF01677 	 P35 	 CP000438 	 2443
RF01356 	 CRISPR-DR28 	 CP000438 	 2444
RF01356 	 CRISPR-DR28 	 CP000438 	 2445
RF01746 	 mraW 	 CP000438 	 2446
RF01372 	 CRISPR-DR59 	 CP000438 	 2447
RF01356 	 CRISPR-DR28 	 CP000438 	 2854
RF00174 	 Cobalamin 	 CP000438 	 2855
RF00174 	 Cobalamin 	 CP000438 	 2856
RF01317 	 CRISPR-DR4 	 CP000438 	 2857
RF00043 	 Plasmid_R1162 	 CP000438 	 2858
RF00005 	 tRNA 	 CP000438 	 2859
RF01668 	 P10 	 CP000438 	 3317
RF01760 	 traJ-II 	 CP000438 	 3318
RF01068 	 mini-ykkC 	 CP000438 	 3319
RF01356 	 CRISPR-DR28 	 CP000438 	 3320
RF01356 	 CRISPR-DR28 	 CP000438 	 3321
RF01317 	 CRISPR-DR4 	 CP000438 	 3322
RF01317 	 CRISPR-DR4 	 CP000438 	 3323
RF01068 	 mini-ykkC 	 CP000438 	 3324
RF01356 	 CRISPR-DR28 	 CP000438 	 3325
RF01356 	 CRISPR-DR28 	 CP000438 	 3326
RF01356 	 CRISPR-DR28 	 CP000438 	 3327
RF00519 	 suhB 	 CP000438 	 3328
RF01372 	 CRISPR-DR59 	 CP000438 	 3329
RF01754 	 radC 	 CP000438 	 3330
RF01356 	 CRISPR-DR28 	 CP000438 	 3331
RF01356 	 CRISPR-DR28 	 CP000438 	 3332
RF01356 	 CRISPR-DR28 	 CP000438 	 4021
RF00236 	 ctRNA_pGA1 	 CP000438 	 4022
RF00236 	 ctRNA_pGA1 	 CP000438 	 4023
RF01671 	 P18 	 CP000438 	 4024
RF00519 	 suhB 	 CP000438 	 4025
RF01670 	 P17 	 CP000438 	 4026
RF01372 	 CRISPR-DR59 	 CP000438 	 4027
RF01317 	 CRISPR-DR4 	 CP000438 	 4028
RF01356 	 CRISPR-DR28 	 CP000438 	 4029
RF00624 	 P9 	 CP000438 	 4030
RF01356 	 CRISPR-DR28 	 CP000438 	 4031
RF01356 	 CRISPR-DR28 	 CP000438 	 4032
RF01356 	 CRISPR-DR28 	 CP000438 	 4033
RF01679 	 P36 	 CP000438 	 4034
RF01356 	 CRISPR-DR28 	 CP000438 	 4035
RF01356 	 CRISPR-DR28 	 CP000438 	 4036
RF01356 	 CRISPR-DR28 	 CP000438 	 4037
RF01356 	 CRISPR-DR28 	 CP000438 	 4038
RF00629 	 P24 	 CP000438 	 5011
RF01356 	 CRISPR-DR28 	 CP000438 	 5012
RF01356 	 CRISPR-DR28 	 CP000438 	 5013
RF01670 	 P17 	 CP000438 	 5014
RF02225 	 sX6 	 CP000438 	 5015
RF00236 	 ctRNA_pGA1 	 CP000438 	 5016
RF01356 	 CRISPR-DR28 	 CP000438 	 5017
RF00080 	 yybP-ykoY 	 CP000438 	 5018
RF01356 	 CRISPR-DR28 	 CP000438 	 5019
RF01356 	 CRISPR-DR28 	 CP000438 	 5020
RF01665 	 P13 	 CP000438 	 5021
RF01366 	 CRISPR-DR53 	 CP000438 	 5022
RF01356 	 CRISPR-DR28 	 CP000438 	 5023
RF01356 	 CRISPR-DR28 	 CP000438 	 5024
RF01356 	 CRISPR-DR28 	 CP000438 	 5025
RF01356 	 CRISPR-DR28 	 CP000438 	 5026
RF01746 	 mraW 	 CP000438 	 5027
RF01356 	 CRISPR-DR28 	 CP000438 	 5028
RF01394 	 isrK 	 CP000438 	 5029
RF01356 	 CRISPR-DR28 	 CP000438 	 5030
RF01668 	 P10 	 CP000438 	 5031
RF01356 	 CRISPR-DR28 	 CP000438 	 5032
RF01668 	 P10 	 CP000438 	 5033
RF01356 	 CRISPR-DR28 	 CP000438 	 5034
RF01772 	 rnk_pseudo 	 CP000438 	 5035
RF01356 	 CRISPR-DR28 	 CP000438 	 5036
RF01372 	 CRISPR-DR59 	 CP000438 	 6000
RF01356 	 CRISPR-DR28 	 CP000438 	 6001
RF01356 	 CRISPR-DR28 	 CP000438 	 6002
RF01683 	 P6 	 CP000438 	 6003
RF01372 	 CRISPR-DR59 	 CP000438 	 6004
RF01668 	 P10 	 CP000438 	 6005
RF00236 	 ctRNA_pGA1 	 CP000438 	 6006
RF01670 	 P17 	 CP000438 	 6007
RF00627 	 P15 	 CP000438 	 6008
RF01356 	 CRISPR-DR28 	 CP000438 	 6009
RF01356 	 CRISPR-DR28 	 CP000438 	 6010
RF01356 	 CRISPR-DR28 	 CP000438 	 6011
RF01356 	 CRISPR-DR28 	 CP000438 	 6012
RF01068 	 mini-ykkC 	 CP000438 	 6013
RF00625 	 P11 	 CP000438 	 6014
RF01356 	 CRISPR-DR28 	 CP000438 	 6015
RF01356 	 CRISPR-DR28 	 CP000438 	 6016
RF01356 	 CRISPR-DR28 	 CP000438 	 6017
RF01356 	 CRISPR-DR28 	 CP000438 	 6018
RF01356 	 CRISPR-DR28 	 CP000438 	 6019
RF01340 	 CRISPR-DR29 	 CP000438 	 6020
RF01372 	 CRISPR-DR59 	 CP000438 	 6021
RF01356 	 CRISPR-DR28 	 CP000438 	 6022
RF01356 	 CRISPR-DR28 	 CP000438 	 6023
RF01356 	 CRISPR-DR28 	 CP000438 	 6024
RF01372 	 CRISPR-DR59 	 CP000438 	 6025
RF01340 	 CRISPR-DR29 	 CP000438 	 6026
RF01340 	 CRISPR-DR29 	 CP000438 	 6027
RF01356 	 CRISPR-DR28 	 CP000438 	 6028
RF01356 	 CRISPR-DR28 	 CP000438 	 6200
RF00262 	 sar 	 CP000438 	 6201
RF01356 	 CRISPR-DR28 	 CP000438 	 6202
RF01356 	 CRISPR-DR28 	 CP000438 	 6203
RF00520 	 ybhL 	 CP000438 	 6204
RF01340 	 CRISPR-DR29 	 CP000438 	 6205
RF01356 	 CRISPR-DR28 	 CP000438 	 6206
RF01356 	 CRISPR-DR28 	 CP000438 	 6207
RF01356 	 CRISPR-DR28 	 CP000438 	 6208
RF01356 	 CRISPR-DR28 	 CP000438 	 6209
RF01356 	 CRISPR-DR28 	 CP000438 	 6210
RF01394 	 isrK 	 CP000438 	 6211
RF01356 	 CRISPR-DR28 	 CP000438 	 6212
RF01356 	 CRISPR-DR28 	 CP000438 	 6213
RF01356 	 CRISPR-DR28 	 CP000438 	 6214
RF00005 	 tRNA 	 AE004091 	 1
RF00005 	 tRNA 	 AE004091 	 2
RF00005 	 tRNA 	 AE004091 	 3
RF00023 	 tmRNA 	 AE004091 	 4
RF00005 	 tRNA 	 AE004091 	 5
RF00005 	 tRNA 	 AE004091 	 6
RF01118 	 PK-G12rRNA 	 AE004091 	 7
RF00177 	 SSU_rRNA_bacteria 	 AE004091 	 8
RF01850 	 beta_tmRNA 	 AE004091 	 9
RF01118 	 PK-G12rRNA 	 AE004091 	 10
RF01118 	 PK-G12rRNA 	 AE004091 	 11
RF00177 	 SSU_rRNA_bacteria 	 AE004091 	 12
RF00177 	 SSU_rRNA_bacteria 	 AE004091 	 13
RF00177 	 SSU_rRNA_bacteria 	 AE004091 	 14
RF00010 	 RNaseP_bact_a 	 AE004091 	 15
RF01118 	 PK-G12rRNA 	 AE004091 	 16
RF00005 	 tRNA 	 AE004091 	 17
RF00005 	 tRNA 	 AE004091 	 18
RF00005 	 tRNA 	 AE004091 	 36
RF00005 	 tRNA 	 AE004091 	 39
RF00140 	 Alpha_RBS 	 AE004091 	 42
RF01356 	 CRISPR-DR28 	 AE004091 	 43
RF00005 	 tRNA 	 AE004091 	 51
RF00005 	 tRNA 	 AE004091 	 56
RF01674 	 P27 	 AE004091 	 59
RF00005 	 tRNA 	 AE004091 	 60
RF00005 	 tRNA 	 AE004091 	 61
RF00005 	 tRNA 	 AE004091 	 64
RF00005 	 tRNA 	 AE004091 	 67
RF00005 	 tRNA 	 AE004091 	 70
RF00005 	 tRNA 	 AE004091 	 71
RF00005 	 tRNA 	 AE004091 	 72
RF00005 	 tRNA 	 AE004091 	 77
RF00005 	 tRNA 	 AE004091 	 83
RF00005 	 tRNA 	 AE004091 	 86
RF00005 	 tRNA 	 AE004091 	 87
RF00005 	 tRNA 	 AE004091 	 88
RF00005 	 tRNA 	 AE004091 	 89
RF02076 	 STnc100 	 AE004091 	 91
RF00005 	 tRNA 	 AE004091 	 92
RF01675 	 CrcZ 	 AE004091 	 93
RF00005 	 tRNA 	 AE004091 	 95
RF01721 	 Pseudomon-groES 	 AE004091 	 97
RF00005 	 tRNA 	 AE004091 	 98
RF00005 	 tRNA 	 AE004091 	 99
RF00005 	 tRNA 	 AE004091 	 100
RF00005 	 tRNA 	 AE004091 	 101
RF00005 	 tRNA 	 AE004091 	 103
RF00630 	 P26 	 AE004091 	 104
RF01758 	 sucA-II 	 AE004091 	 105
RF00005 	 tRNA 	 AE004091 	 106
RF00001 	 5S_rRNA 	 AE004091 	 107
RF00001 	 5S_rRNA 	 AE004091 	 108
RF00001 	 5S_rRNA 	 AE004091 	 109
RF00005 	 tRNA 	 AE004091 	 110
RF00005 	 tRNA 	 AE004091 	 111
RF01759 	 sucC 	 AE004091 	 113
RF00001 	 5S_rRNA 	 AE004091 	 114
RF01773 	 rpsL_psuedo 	 AE004091 	 117
RF00013 	 6S 	 AE004091 	 119
RF00005 	 tRNA 	 AE004091 	 121
RF00005 	 tRNA 	 AE004091 	 122
RF00127 	 t44 	 AE004091 	 125
RF00005 	 tRNA 	 AE004091 	 126
RF00166 	 PrrB_RsmZ 	 AE004091 	 130
RF00005 	 tRNA 	 AE004091 	 131
RF01673 	 P20 	 AE004091 	 132
RF00005 	 tRNA 	 AE004091 	 141
RF00005 	 tRNA 	 AE004091 	 142
RF00005 	 tRNA 	 AE004091 	 148
RF00005 	 tRNA 	 AE004091 	 149
RF00005 	 tRNA 	 AE004091 	 150
RF00005 	 tRNA 	 AE004091 	 154
RF00005 	 tRNA 	 AE004091 	 159
RF00005 	 tRNA 	 AE004091 	 161
RF00005 	 tRNA 	 AE004091 	 171
RF01766 	 cspA 	 AE004091 	 173
RF00005 	 tRNA 	 AE004091 	 179
RF00005 	 tRNA 	 AE004091 	 182
RF00195 	 RsmY 	 AE004091 	 192
RF01734 	 crcB 	 AE004091 	 194
RF00005 	 tRNA 	 AE004091 	 195
RF01356 	 CRISPR-DR28 	 AE004091 	 197
RF00005 	 tRNA 	 AE004091 	 200
RF00005 	 tRNA 	 AE004091 	 206
RF00005 	 tRNA 	 AE004091 	 207
RF00005 	 tRNA 	 AE004091 	 208
RF00114 	 S15 	 AE004091 	 213
RF02243 	 Xoo8 	 AE004091 	 239
RF00005 	 tRNA 	 AE004091 	 241
RF01766 	 cspA 	 AE004091 	 248
RF00005 	 tRNA 	 AE004091 	 253
RF01668 	 P10 	 AE004091 	 258
RF00005 	 tRNA 	 AE004091 	 262
RF00005 	 tRNA 	 AE004091 	 295
RF01695 	 C4 	 AE004091 	 318
RF01738 	 gabT 	 AE004091 	 325
RF01719 	 Pseudomon-1 	 AE004091 	 330
RF01676 	 P31 	 AE004091 	 361
RF01668 	 P10 	 AE004091 	 364
RF00005 	 tRNA 	 AE004091 	 394
RF01394 	 isrK 	 AE004091 	 402
RF01756 	 rne-II 	 AE004091 	 405
RF00005 	 tRNA 	 AE004091 	 471
RF01766 	 cspA 	 AE004091 	 493
RF01676 	 P31 	 AE004091 	 510
RF01356 	 CRISPR-DR28 	 AE004091 	 518
RF01372 	 CRISPR-DR59 	 AE004091 	 544
RF01356 	 CRISPR-DR28 	 AE004091 	 561
RF01068 	 mini-ykkC 	 AE004091 	 572
RF01356 	 CRISPR-DR28 	 AE004091 	 574
RF01356 	 CRISPR-DR28 	 AE004091 	 586
RF01356 	 CRISPR-DR28 	 AE004091 	 592
RF01356 	 CRISPR-DR28 	 AE004091 	 598
RF01356 	 CRISPR-DR28 	 AE004091 	 601
RF01720 	 Pseudomon-Rho 	 AE004091 	 605
RF01068 	 mini-ykkC 	 AE004091 	 630
RF01356 	 CRISPR-DR28 	 AE004091 	 649
RF01372 	 CRISPR-DR59 	 AE004091 	 655
RF01672 	 P2 	 AE004091 	 657
RF00005 	 tRNA 	 AE004091 	 661
RF01989 	 SECIS_3 	 AE004091 	 689
RF01678 	 P37 	 AE004091 	 728
RF01746 	 mraW 	 AE004091 	 786
RF01740 	 gyrA 	 AE004091 	 792
RF01366 	 CRISPR-DR53 	 AE004091 	 871
RF01852 	 tRNA-Sec 	 AE004091 	 1006
RF00169 	 Bacteria_small_SRP 	 AE004091 	 1014
RF00623 	 P1 	 AE004091 	 1019
RF01356 	 CRISPR-DR28 	 AE004091 	 1021
RF01854 	 Bacteria_large_SRP 	 AE004091 	 1073
RF00174 	 Cobalamin 	 AE004091 	 1074
RF01356 	 CRISPR-DR28 	 AE004091 	 1107
RF01356 	 CRISPR-DR28 	 AE004091 	 1120
RF01057 	 SAH_riboswitch 	 AE004091 	 1124
RF00519 	 suhB 	 AE004091 	 1208
RF01356 	 CRISPR-DR28 	 AE004091 	 1250
RF02221 	 sRNA-Xcc1 	 AE004091 	 1258
RF01669 	 P14 	 AE004091 	 1259
RF01356 	 CRISPR-DR28 	 AE004091 	 1273
RF01683 	 P6 	 AE004091 	 1289
RF00050 	 FMN 	 AE004091 	 1302
RF01356 	 CRISPR-DR28 	 AE004091 	 1347
RF00059 	 TPP 	 AE004091 	 1370
RF00624 	 P9 	 AE004091 	 1404
RF01668 	 P10 	 AE004091 	 1411
RF01680 	 P5 	 AE004091 	 1506
RF01356 	 CRISPR-DR28 	 AE004091 	 1569
RF00628 	 P16 	 AE004091 	 1686
RF01356 	 CRISPR-DR28 	 AE004091 	 1693
RF01755 	 rmf 	 AE004091 	 1709
RF00174 	 Cobalamin 	 AE004091 	 1736
RF01683 	 P6 	 AE004091 	 1786
RF00444 	 PrrF 	 AE004091 	 1787
RF01340 	 CRISPR-DR29 	 AE004091 	 1807
RF01668 	 P10 	 AE004091 	 1859
RF01679 	 P36 	 AE004091 	 1860
RF01668 	 P10 	 AE004091 	 1891
RF02225 	 sX6 	 AE004091 	 1903
RF01356 	 CRISPR-DR28 	 AE004091 	 2083
RF01356 	 CRISPR-DR28 	 AE004091 	 2169
RF01356 	 CRISPR-DR28 	 AE004091 	 2188
RF00005 	 tRNA 	 AE004091 	 2232
RF00444 	 PrrF 	 AE004091 	 2272
RF01356 	 CRISPR-DR28 	 AE004091 	 2315
RF00174 	 Cobalamin 	 AE004091 	 2475
RF01356 	 CRISPR-DR28 	 AE004091 	 2557
RF01364 	 CRISPR-DR51 	 AE004091 	 2596
RF01677 	 P35 	 AE004091 	 2621
RF01356 	 CRISPR-DR28 	 AE004091 	 2696
RF00080 	 yybP-ykoY 	 AE004091 	 2724
RF01356 	 CRISPR-DR28 	 AE004091 	 2740
RF00174 	 Cobalamin 	 AE004091 	 2754
RF01772 	 rnk_pseudo 	 AE004091 	 2755
RF01356 	 CRISPR-DR28 	 AE004091 	 2802
RF01670 	 P17 	 AE004091 	 2861
RF00174 	 Cobalamin 	 AE004091 	 2887
RF01372 	 CRISPR-DR59 	 AE004091 	 2909
RF01372 	 CRISPR-DR59 	 AE004091 	 2924
RF01356 	 CRISPR-DR28 	 AE004091 	 2995
RF01372 	 CRISPR-DR59 	 AE004091 	 3062
RF01356 	 CRISPR-DR28 	 AE004091 	 3063
RF01356 	 CRISPR-DR28 	 AE004091 	 3064
RF01670 	 P17 	 AE004091 	 3110
RF01356 	 CRISPR-DR28 	 AE004091 	 3111
RF01356 	 CRISPR-DR28 	 AE004091 	 3132
RF01356 	 CRISPR-DR28 	 AE004091 	 3154
RF01668 	 P10 	 AE004091 	 3155
RF01372 	 CRISPR-DR59 	 AE004091 	 3223
RF01356 	 CRISPR-DR28 	 AE004091 	 3260
RF01356 	 CRISPR-DR28 	 AE004091 	 3338
RF01356 	 CRISPR-DR28 	 AE004091 	 3460
RF01356 	 CRISPR-DR28 	 AE004091 	 3482
RF01356 	 CRISPR-DR28 	 AE004091 	 3512
RF01356 	 CRISPR-DR28 	 AE004091 	 3559
RF01356 	 CRISPR-DR28 	 AE004091 	 3560
RF01356 	 CRISPR-DR28 	 AE004091 	 3692
RF00238 	 ctRNA_pND324 	 AE004091 	 3728
RF01366 	 CRISPR-DR53 	 AE004091 	 3729
RF01682 	 P8 	 AE004091 	 3808
RF00623 	 P1 	 AE004091 	 3809
RF01746 	 mraW 	 AE004091 	 3911
RF01356 	 CRISPR-DR28 	 AE004091 	 3912
RF01356 	 CRISPR-DR28 	 AE004091 	 3913
RF00262 	 sar 	 AE004091 	 3948
RF01356 	 CRISPR-DR28 	 AE004091 	 3949
RF00627 	 P15 	 AE004091 	 4032
RF01356 	 CRISPR-DR28 	 AE004091 	 4077
RF01681 	 P4 	 AE004091 	 4162
RF00520 	 ybhL 	 AE004091 	 4202
RF01356 	 CRISPR-DR28 	 AE004091 	 4243
RF01356 	 CRISPR-DR28 	 AE004091 	 4244
RF01356 	 CRISPR-DR28 	 AE004091 	 4290
RF01356 	 CRISPR-DR28 	 AE004091 	 4291
RF01394 	 isrK 	 AE004091 	 4292
RF01356 	 CRISPR-DR28 	 AE004091 	 4336
RF00043 	 Plasmid_R1162 	 AE004091 	 4431
RF01665 	 P13 	 AE004091 	 4432
RF01356 	 CRISPR-DR28 	 AE004091 	 4480
RF00629 	 P24 	 AE004091 	 4530
RF01681 	 P4 	 AE004091 	 4531
RF01670 	 P17 	 AE004091 	 4586
RF01340 	 CRISPR-DR29 	 AE004091 	 4587
RF01356 	 CRISPR-DR28 	 AE004091 	 4588
RF01356 	 CRISPR-DR28 	 AE004091 	 4589
RF01668 	 P10 	 AE004091 	 4590
RF01356 	 CRISPR-DR28 	 AE004091 	 4704
RF01356 	 CRISPR-DR28 	 AE004091 	 4761
RF01671 	 P18 	 AE004091 	 4762
RF01356 	 CRISPR-DR28 	 AE004091 	 4840
RF01356 	 CRISPR-DR28 	 AE004091 	 4841
RF01068 	 mini-ykkC 	 AE004091 	 4905
RF01356 	 CRISPR-DR28 	 AE004091 	 4998
RF01670 	 P17 	 AE004091 	 5148
RF01356 	 CRISPR-DR28 	 AE004091 	 5312
RF01356 	 CRISPR-DR28 	 AE004091 	 5313
RF01356 	 CRISPR-DR28 	 AE004091 	 5409
RF01356 	 CRISPR-DR28 	 AE004091 	 5410
RF01356 	 CRISPR-DR28 	 AE004091 	 5505
RF01356 	 CRISPR-DR28 	 AE004091 	 5506
RF01372 	 CRISPR-DR59 	 AE004091 	 5507
RF01356 	 CRISPR-DR28 	 AE004091 	 5508
RF01356 	 CRISPR-DR28 	 AE004091 	 5509
RF01372 	 CRISPR-DR59 	 AE004091 	 5606
RF01356 	 CRISPR-DR28 	 AE004091 	 5607
RF01356 	 CRISPR-DR28 	 AE004091 	 5608
RF01356 	 CRISPR-DR28 	 AE004091 	 5707
RF00625 	 P11 	 AE004091 	 5708
