RUF_ID RNAz_P_Values(Forward) RNA_type(Forward) RNAz_P_Values(Reverse) RNA_type(Reverse)
AE006641_105154_105249 0.602441 RNA 0.978598 RNA
AE006641_1184670_1184784 NA NA NA NA
AE006641_2033485_2033587 0.000002 OTHER 0.010853 OTHER
AE006641_2137185_2137263 0.071051 OTHER 0.000000 OTHER
AE006641_2191896_2192032 0.000000 OTHER 0.000000 OTHER
AE006641_2411637_2411800 0.000000 OTHER 0.000000 OTHER
AE006641_2952841_2953031 0.005207 OTHER 0.000000 OTHER
AE006641_509340_509467 0.000000 OTHER 0.000000 OTHER
AE006641_595498_595590 0.999433 RNA 0.999263 RNA
AE006641_597695_597863 0.000000 OTHER 0.000000 OTHER
AE006641_749342_749417 0.015989 OTHER 0.047785 OTHER
AE006641_789531_789657 0.000000 OTHER 0.000000 OTHER
AE006641_807535_807619 0.210312 OTHER 0.002807 OTHER
AE009950_1226087_1226249 0.997992 RNA 0.998249 RNA
AE009950_1285094_1285168 0.000000 OTHER 0.000000 OTHER
AE009950_136703_136901 0.575321 RNA 0.677626 RNA
AE009950_1793377_1793476 0.000000 OTHER 0.000000 OTHER
AE009950_234518_234644 0.996230 RNA 0.878235 RNA
AE009950_258918_259053 0.026313 OTHER 0.015528 OTHER
AE009950_505155_505346 0.990051 RNA 0.757598 RNA
AE009950_505722_505820 0.990726 RNA 0.950997 RNA
AE017199_113561_113655 NA NA NA NA
AE017199_145930_146042 NA NA NA NA
AE017199_164078_164168 NA NA NA NA
AE017199_328870_328986 NA NA NA NA
AE017199_334558_334634 NA NA NA NA
AE017199_339351_339700 NA NA NA NA
AE017199_375319_375397 NA NA NA NA
AE017199_382303_382481 NA NA NA NA
AE017199_384207_384270 NA NA NA NA
AE017199_432080_432287 NA NA NA NA
CP000678_1015871_1015955 NA NA NA NA
CP000678_1034892_1034987 NA NA NA NA
CP000678_1050048_1050310 0.999511 RNA 0.999900 RNA
CP000678_1059585_1059827 0.848030 RNA 0.035429 OTHER
CP000678_1374373_1374490 NA NA NA NA
CP000678_1397468_1397598 0.000000 OTHER 0.000000 OTHER
CP000678_1454738_1454935 0.998986 RNA 0.991356 RNA
CP000678_1455377_1455470 NA NA NA NA
CP000678_1599690_1599766 NA NA NA NA
CP000678_181903_181984 NA NA NA NA
CP000678_182235_182379 NA NA NA NA
CP000678_185321_185434 NA NA NA NA
CP000678_191068_191237 0.000000 OTHER 0.000000 OTHER
CP000678_27095_27313 NA NA NA NA
CP000678_329870_330028 0.780143 RNA 0.026456 OTHER
CP000678_332995_333326 0.000001 OTHER 0.028247 OTHER
CP000678_333398_333480 NA NA NA NA
CP000678_359950_360320 0.000000 OTHER 0.000000 OTHER
CP000678_459764_459973 NA NA NA NA
CP000678_515790_516060 0.000000 OTHER 0.000001 OTHER
CP000678_516230_516294 NA NA NA NA
CP000678_516411_516560 0.152109 OTHER 0.031631 OTHER
CP000678_561274_561508 NA NA NA NA
CP000678_602211_602281 NA NA NA NA
CP000678_603955_604113 NA NA NA NA
CP000678_647403_647476 NA NA NA NA
CP000678_679686_679793 NA NA NA NA
CP000678_713263_713391 NA NA NA NA
CP000678_722575_722914 NA NA NA NA
CP000678_732089_732141 NA NA NA NA
CP000678_744891_745010 NA NA NA NA
CP000678_765524_765869 NA NA NA NA
CP000678_7765_7975 NA NA NA NA
CP000678_785702_785840 NA NA NA NA
CP000678_859185_859257 NA NA NA NA
CP000678_878387_878533 NA NA NA NA
CP000678_924001_924080 NA NA NA NA
CP000816_1000655_1000815 NA NA NA NA
CP000816_1066717_1066898 NA NA NA NA
CP000816_1_142 NA NA NA NA
CP000816_1266696_1266816 NA NA NA NA
CP000816_1296273_1296514 NA NA NA NA
CP000816_405543_405720 NA NA NA NA
CP000816_617415_617531 NA NA NA NA
CP000816_734261_734505 0.999718 RNA 0.944930 RNA
CP000816_795075_795246 0.014062 OTHER 0.005067 OTHER
CP000816_881753_881931 0.617449 RNA 0.885325 RNA
AE000511_1006530_1006664 0.098007 OTHER 0.000000 OTHER
AE000511_1008391_1008462 0.137459 OTHER 0.000000 OTHER
AE000511_1034648_1034747 0.000000 OTHER 0.000000 OTHER
AE000511_1199651_1199763 0.000000 OTHER 0.000000 OTHER
AE000511_1209411_1209645 0.000000 OTHER 0.000001 OTHER
AE000511_1227439_1227530 0.000000 OTHER 0.034634 OTHER
AE000511_1278192_1278309 0.000000 OTHER 0.006356 OTHER
AE000511_1282387_1282578 0.000000 OTHER 0.000002 OTHER
AE000511_1351583_1351730 0.000000 OTHER 0.000000 OTHER
AE000511_1365213_1365400 0.440829 OTHER 0.002945 OTHER
AE000511_1394945_1395155 0.591506 RNA 0.010809 OTHER
AE000511_1398771_1399035 0.000002 OTHER 0.000000 OTHER
AE000511_1398841_1399030 0.000000 OTHER 0.000000 OTHER
AE000511_1427602_1427687 0.000000 OTHER 0.128280 OTHER
AE000511_1470879_1471014 0.012182 OTHER 0.362585 OTHER
AE000511_1482857_1482974 0.000000 OTHER 0.000000 OTHER
AE000511_1508255_1508464 0.000000 OTHER 0.000000 OTHER
AE000511_1540580_1540696 0.000000 OTHER 0.000001 OTHER
AE000511_1564415_1564520 0.000000 OTHER 0.314172 OTHER
AE000511_1580192_1580321 0.000000 OTHER 0.000000 OTHER
AE000511_1584291_1584446 0.000000 OTHER 0.000000 OTHER
AE000511_1640326_1640455 0.000000 OTHER 0.000001 OTHER
AE000511_1644981_1645223 0.000003 OTHER 0.000001 OTHER
AE000511_1653767_1653856 0.000000 OTHER 0.000000 OTHER
AE000511_240146_240245 0.000000 OTHER 0.000000 OTHER
AE000511_240254_240587 0.000000 OTHER 0.000000 OTHER
AE000511_241083_241192 0.000000 OTHER 0.000000 OTHER
AE000511_255394_255584 0.000000 OTHER 0.000000 OTHER
AE000511_439166_439283 0.000000 OTHER 0.000000 OTHER
AE000511_444943_445231 0.003445 OTHER 0.000000 OTHER
AE000511_448247_448391 0.004265 OTHER 0.029537 OTHER
AE000511_568287_568557 0.000000 OTHER 0.773309 RNA
AE000511_595499_595601 0.000000 OTHER 0.188538 OTHER
AE000511_77954_78089 0.000000 OTHER 0.000002 OTHER
AE000511_816171_816360 0.000000 OTHER 0.015970 OTHER
AE000511_860273_860356 0.000000 OTHER 0.000000 OTHER
AE000511_920356_920416 0.000000 OTHER 0.000000 OTHER
AE000511_938188_938414 0.013122 OTHER 0.000000 OTHER
AE000511_97062_97251 0.998722 RNA 0.984269 RNA
AE001363_1002113_1002414 0.000000 OTHER 0.000000 OTHER
AE001363_1005276_1005392 0.920112 RNA 0.384084 OTHER
AE001363_461496_461553 0.938049 RNA 0.909539 RNA
AE001363_642859_643027 0.483053 OTHER 0.913234 RNA
AE001363_643304_643448 0.223404 OTHER 0.885438 RNA
AE001363_668156_668405 0.997109 RNA 0.210204 OTHER
AE001363_710138_710483 0.000000 OTHER 0.000000 OTHER
AE001363_841901_841974 0.011541 OTHER 0.104617 OTHER
AE004969_1003915_1004233 0.000011 OTHER 0.000001 OTHER
AE004969_1044285_1044446 0.999985 RNA 0.999988 RNA
AE004969_1172519_1172726 0.971617 RNA 0.998623 RNA
AE004969_1248800_1249110 0.720659 RNA 0.042271 OTHER
AE004969_1389064_1389198 0.000000 OTHER 0.000009 OTHER
AE004969_1552230_1552595 0.117358 OTHER 0.029774 OTHER
AE004969_1609806_1610150 0.999971 RNA 0.999933 RNA
AE004969_1629233_1629572 NA NA NA NA
AE004969_163026_163143 0.476983 OTHER 0.008233 OTHER
AE004969_1795979_1796180 0.000000 OTHER 0.000000 OTHER
AE004969_1801757_1801980 0.999162 RNA 0.999290 RNA
AE004969_1808870_1808959 0.057474 OTHER 0.526818 RNA
AE004969_1824176_1824235 0.000000 OTHER 0.000000 OTHER
AE004969_1824733_1824963 0.997987 RNA 0.998875 RNA
AE004969_1826091_1826193 0.596793 RNA 0.004385 OTHER
AE004969_1828389_1828442 0.000000 OTHER 0.003235 OTHER
AE004969_1881076_1881197 0.028621 OTHER 0.000000 OTHER
AE004969_1994807_1995171 0.999031 RNA 0.055676 OTHER
AE004969_2072794_2072887 0.989232 RNA 0.967384 RNA
AE004969_2122650_2122708 0.000001 OTHER 0.000000 OTHER
AE004969_2138229_2138448 0.995956 RNA 0.999101 RNA
AE004969_299400_299548 0.997412 RNA 0.958336 RNA
AE004969_334562_334759 0.978305 RNA 0.763306 RNA
AE004969_341338_341525 0.957792 RNA 0.995856 RNA
AE004969_350631_350704 0.000014 OTHER 0.074739 OTHER
AE004969_388568_388661 0.947670 RNA 0.000000 OTHER
AE004969_454810_454892 0.999602 RNA 0.998720 RNA
AE004969_471642_471837 0.000000 OTHER 0.000000 OTHER
AE004969_496767_497110 0.667422 RNA 0.979386 RNA
AE004969_569205_569362 0.957661 RNA 0.917479 RNA
AE004969_621836_622049 0.000000 OTHER 0.000000 OTHER
AE004969_625868_625990 0.983440 RNA 0.942009 RNA
AE004969_762724_762906 0.999965 RNA 0.999947 RNA
AE004969_785652_785741 0.997239 RNA 0.998647 RNA
AE004969_894609_894871 0.998961 RNA 0.999674 RNA
AE004969_900467_900580 0.969006 RNA 0.996749 RNA
AE004969_906812_906916 0.000004 OTHER 0.000000 OTHER
AE008923_1117262_1117356 0.999191 RNA 0.995216 RNA
AE008923_1142850_1142930 0.999702 RNA 0.997517 RNA
AE008923_1146074_1146283 0.985156 RNA 0.787945 RNA
AE008923_1168414_1168491 0.000000 OTHER 0.005391 OTHER
AE008923_2320973_2321030 0.000003 OTHER 0.202265 OTHER
AE008923_3045081_3045312 0.617956 RNA 0.046476 OTHER
AE008923_3350324_3350495 0.155596 OTHER 0.101351 OTHER
AE008923_3661751_3661962 0.000000 OTHER 0.000000 OTHER
AE008923_4178251_4178544 0.000001 OTHER 0.044073 OTHER
AE008923_4276805_4277002 0.436025 OTHER 0.992866 RNA
AE008923_4333197_4333259 0.000000 OTHER 0.000000 OTHER
AE008923_4579572_4579749 0.000000 OTHER 0.002658 OTHER
AE008923_4581610_4581911 0.000005 OTHER 0.050033 OTHER
AE008923_4626381_4626552 NA NA NA NA
AE008923_4700592_4700797 0.000000 OTHER 0.000000 OTHER
AE008923_4919255_4919454 0.000000 OTHER 0.000002 OTHER
AE008923_4946686_4946875 0.114171 OTHER 0.330948 OTHER
AE008923_5068810_5069012 0.000000 OTHER 0.872905 RNA
AE008923_5070848_5071184 0.003420 OTHER 0.041478 OTHER
AE008923_5096351_5096419 0.029503 OTHER 0.000000 OTHER
AE008923_929766_930017 0.998963 RNA 0.997112 RNA
AE014613_1190094_1190229 0.000000 OTHER 0.000000 OTHER
AE014613_1276595_1276723 0.062612 OTHER 0.000000 OTHER
AE014613_1397941_1397990 0.000000 OTHER 0.000000 OTHER
AE014613_1852667_1852755 0.000018 OTHER 0.100270 OTHER
AE014613_1892749_1892826 0.000008 OTHER 0.000000 OTHER
AE014613_2695422_2695501 0.000000 OTHER 0.000000 OTHER
AE014613_2697414_2697463 0.000000 OTHER 0.000000 OTHER
AE014613_2701853_2701903 0.000000 OTHER 0.000000 OTHER
AE014613_2702210_2702269 0.000000 OTHER 0.000000 OTHER
AE014613_2702450_2702523 0.000000 OTHER 0.000000 OTHER
AE014613_287126_287183 0.000000 OTHER 0.000000 OTHER
AE014613_3388901_3389185 0.000004 OTHER 0.000002 OTHER
AE014613_3427238_3427543 0.000000 OTHER 0.000000 OTHER
AE014613_3739102_3739161 0.999236 RNA 0.999374 RNA
AE014613_3763703_3763816 0.000000 OTHER 0.000000 OTHER
AE014613_4122170_4122292 0.691884 RNA 0.288538 OTHER
AE014613_4198641_4198773 0.000000 OTHER 0.000001 OTHER
AE014613_4506812_4506883 0.000000 OTHER 0.040020 OTHER
AE014613_4790700_4790831 0.000000 OTHER 0.000000 OTHER
AE014613_4790860_4791031 0.054736 OTHER 0.000000 OTHER
AE014613_499318_499554 0.000005 OTHER 0.005031 OTHER
AE014613_681113_681178 0.000000 OTHER 0.000000 OTHER
AE014613_681313_681375 0.000000 OTHER 0.000000 OTHER
AE014613_724649_724714 0.000000 OTHER 0.023522 OTHER
AE014613_999785_999861 0.000000 OTHER 0.000000 OTHER
AE015451_1325325_1325479 0.276344 OTHER 0.004203 OTHER
AE015451_171212_171364 0.258779 OTHER 0.005209 OTHER
AE015451_176623_176793 0.003943 OTHER 0.000002 OTHER
AE015451_1883243_1883426 0.000000 OTHER 0.000000 OTHER
AE015451_2548422_2548666 0.765766 RNA 0.000005 OTHER
AE015451_524777_524928 0.998904 RNA 0.943270 RNA
AE015451_5312724_5312855 0.000001 OTHER 0.022264 OTHER
AE015451_536972_537026 0.985307 RNA 0.000000 OTHER
AE015451_697630_697800 0.004656 OTHER 0.000011 OTHER
AE015924_1181202_1181445 0.980731 RNA 0.998425 RNA
AE015924_1299026_1299170 0.000000 OTHER 0.000001 OTHER
AE015924_1320942_1321251 0.999986 RNA 0.999984 RNA
AE015924_1344551_1344666 0.354494 OTHER 0.420664 OTHER
AE015924_1349292_1349367 0.117416 OTHER 0.162934 OTHER
AE015924_1495257_1495346 0.016332 OTHER 0.040839 OTHER
AE015924_1710568_1710821 0.037049 OTHER 0.130685 OTHER
AE015924_1758418_1758557 0.999597 RNA 0.979254 RNA
AE015924_1771573_1771779 0.994551 RNA 0.905082 RNA
AE015924_1786017_1786171 0.000000 OTHER 0.000000 OTHER
AE015924_1964962_1965172 0.481271 OTHER 0.771530 RNA
AE015924_2058306_2058621 0.990192 RNA 0.962461 RNA
AE015924_2067691_2067862 0.997073 RNA 0.387291 OTHER
AE015924_422188_422353 0.000000 OTHER 0.000000 OTHER
AE015924_524958_525074 0.996834 RNA 0.997326 RNA
AE015924_615236_615385 0.000000 OTHER 0.000000 OTHER
AE016877_110316_110485 0.042311 OTHER 0.016069 OTHER
AE016877_139648_139830 0.344048 OTHER 0.000004 OTHER
AE016877_155613_155847 0.996590 RNA 0.069503 OTHER
AE016877_3782852_3782954 0.000000 OTHER 0.018887 OTHER
AE016877_4519981_4520134 0.146937 OTHER 0.997285 RNA
AE016877_4803926_4804169 0.000003 OTHER 0.882775 RNA
AE016877_514492_514735 0.641288 RNA 0.000000 OTHER
AE016877_722915_723160 0.960236 RNA 0.000008 OTHER
AE016877_86691_86935 0.708513 RNA 0.000002 OTHER
AE017194_104798_104967 0.034336 OTHER 0.009421 OTHER
AE017194_116972_117180 0.998824 RNA 0.834088 RNA
AE017194_120775_120939 0.547780 RNA 0.012577 OTHER
AE017194_4776918_4777058 0.004877 OTHER 0.006918 OTHER
AE017194_5038196_5038316 0.039666 OTHER 0.967238 RNA
AE017194_5211696_5211889 0.207734 OTHER 0.977256 RNA
AE017225_1014336_1014551 0.999832 RNA 0.953444 RNA
AE017225_1016890_1017025 0.999270 RNA 0.983943 RNA
AE017225_105393_105572 0.695477 RNA 0.173969 OTHER
AE017225_106996_107065 0.087032 OTHER 0.000000 OTHER
AE017225_107423_107499 0.332040 OTHER 0.000003 OTHER
AE017225_1155029_1155158 0.997200 RNA 0.017844 OTHER
AE017225_115934_116050 0.003024 OTHER 0.000000 OTHER
AE017225_116971_117180 0.998817 RNA 0.810924 RNA
AE017225_119257_119376 0.990017 RNA 0.002685 OTHER
AE017225_120763_120963 0.002745 OTHER 0.018772 OTHER
AE017225_1224435_1224572 0.691032 RNA 0.845713 RNA
AE017225_123734_123796 0.999641 RNA 0.197349 OTHER
AE017225_1273285_1273436 0.548333 RNA 0.000014 OTHER
AE017225_131439_131497 0.968652 RNA 0.919292 RNA
AE017225_132892_132962 0.771275 RNA 0.949946 RNA
AE017225_134129_134311 0.267014 OTHER 0.000003 OTHER
AE017225_138995_139149 0.000000 OTHER 0.000000 OTHER
AE017225_2727456_2727511 0.000000 OTHER 0.000000 OTHER
AE017225_3300338_3300556 0.979373 RNA 0.999167 RNA
AE017225_359347_359403 0.000000 OTHER 0.848073 RNA
AE017225_3604842_3604933 0.000000 OTHER 0.000000 OTHER
AE017225_3622719_3622821 0.000000 OTHER 0.000001 OTHER
AE017225_3659216_3659318 0.000000 OTHER 0.000000 OTHER
AE017225_3666894_3666965 0.000000 OTHER 0.000000 OTHER
AE017225_3825891_3826090 0.000000 OTHER 0.000000 OTHER
AE017225_3826012_3826102 0.468025 OTHER 0.000000 OTHER
AE017225_3826286_3826612 0.000000 OTHER 0.000000 OTHER
AE017225_3872119_3872446 0.689957 RNA 0.837293 RNA
AE017225_4001722_4001811 0.961323 RNA 0.996769 RNA
AE017225_4329164_4329244 0.000000 OTHER 0.000000 OTHER
AE017225_4379674_4379745 0.000000 OTHER 0.000000 OTHER
AE017225_4402019_4402166 0.985181 RNA 0.977461 RNA
AE017225_4631928_4631999 0.000000 OTHER 0.000000 OTHER
AE017225_4733484_4733534 0.000000 OTHER 0.000006 OTHER
AE017225_5040548_5040669 0.000000 OTHER 0.166407 OTHER
AE017225_5063028_5063147 0.988907 RNA 0.941118 RNA
AE017225_5074649_5074761 0.999624 RNA 0.998842 RNA
AE017225_5076873_5076981 0.029114 OTHER 0.114332 OTHER
AE017225_84130_84195 0.000000 OTHER 0.000000 OTHER
AE017354_1344328_1344443 0.156144 OTHER 0.422608 OTHER
AE017354_1478050_1478134 0.984009 RNA 0.998883 RNA
AE017354_2079445_2079538 0.920362 RNA 0.949693 RNA
AE017354_2080005_2080111 0.233716 OTHER 0.921196 RNA
AE017354_2099288_2099346 0.000000 OTHER 0.185972 OTHER
AE017354_2558031_2558081 0.000000 OTHER 0.000000 OTHER
AE017354_2590887_2590949 0.994741 RNA 0.349446 OTHER
AE017354_2593420_2593762 0.992306 RNA 0.983176 RNA
AE017354_2594083_2594147 0.000000 OTHER 0.002542 OTHER
AE017354_2663499_2663703 0.963620 RNA 0.970924 RNA
AE017354_3064806_3065044 0.000000 OTHER 0.000000 OTHER
AE017354_3065432_3065605 0.000000 OTHER 0.000000 OTHER
AE017354_3068332_3068505 0.916857 RNA 0.998964 RNA
AE017354_3141700_3141772 0.000001 OTHER 0.939003 RNA
AE017354_3292177_3292395 0.996893 RNA 0.996543 RNA
AE017354_3294671_3294815 0.000000 OTHER 0.000000 OTHER
AE017354_3303386_3303691 0.999670 RNA 0.999617 RNA
AE017354_3350906_3350980 0.997629 RNA 0.996411 RNA
AE017354_3380170_3380223 0.971564 RNA 0.985592 RNA
AE017354_361402_361477 0.500000 OTHER 0.951006 RNA
AE017354_364838_364945 0.819090 RNA 0.939171 RNA
AE017354_365019_365093 0.728851 RNA 0.000000 OTHER
AE017354_365270_365324 0.984295 RNA 0.877478 RNA
AE017354_366623_366684 0.998675 RNA 0.997862 RNA
AE017354_368944_369118 0.926378 RNA 0.997804 RNA
AE017354_370061_370154 0.999173 RNA 0.999336 RNA
AE017354_385650_385873 0.000000 OTHER 0.000000 OTHER
AE017354_413184_413498 0.997681 RNA 0.998318 RNA
AE017354_465888_465997 0.932405 RNA 0.996691 RNA
AE017354_466238_466346 0.966810 RNA 0.996280 RNA
AE017354_491985_492129 0.000000 OTHER 0.000000 OTHER
AE017354_539693_539775 0.000015 OTHER 0.026341 OTHER
AE017354_600538_600718 0.973766 RNA 0.005019 OTHER
AE017354_609762_609837 0.500000 OTHER 0.956016 RNA
AE017354_6900_7270 0.983574 RNA 0.398926 OTHER
AE017354_72674_72781 0.000000 OTHER 0.034352 OTHER
AE017354_807220_807399 0.998156 RNA 0.922863 RNA
AE017354_80859_81032 0.000001 OTHER 0.024072 OTHER
AL123456_100449_100582 0.000000 OTHER 0.003431 OTHER
AL123456_1015298_1015397 0.000000 OTHER 0.000000 OTHER
AL123456_1016710_1016844 0.027060 OTHER 0.005546 OTHER
AL123456_1017131_1017202 0.000000 OTHER 0.000000 OTHER
AL123456_1023875_1024170 0.000013 OTHER 0.879469 RNA
AL123456_1024162_1024229 0.000002 OTHER 0.004810 OTHER
AL123456_1024240_1024302 0.037539 OTHER 0.000000 OTHER
AL123456_1025400_1025449 0.000000 OTHER 0.000003 OTHER
AL123456_1026911_1027056 0.500000 OTHER 0.452783 OTHER
AL123456_1029358_1029512 0.933355 RNA 0.226368 OTHER
AL123456_11023_11096 0.097771 OTHER 0.078753 OTHER
AL123456_1197250_1197326 0.000003 OTHER 0.003303 OTHER
AL123456_1453011_1453175 0.210551 OTHER 0.034721 OTHER
AL123456_1851993_1852272 0.998811 RNA 0.924872 RNA
AL123456_2007047_2007187 0.000000 OTHER 0.000000 OTHER
AL123456_2489145_2489207 0.027541 OTHER 0.000006 OTHER
AL123456_2516895_2516994 0.000000 OTHER 0.000000 OTHER
AL123456_2955436_2955540 0.000015 OTHER 0.000000 OTHER
AL123456_3243405_3243575 0.579400 RNA 0.000000 OTHER
AL123456_3331783_3332162 0.000000 OTHER 0.000000 OTHER
AL123456_3415074_3415271 0.000000 OTHER 0.000000 OTHER
AL123456_3557017_3557211 0.009686 OTHER 0.031416 OTHER
AL123456_3557208_3557327 0.000000 OTHER 0.000000 OTHER
AL123456_3837387_3837455 0.000000 OTHER 0.000000 OTHER
AL123456_3895715_3895804 0.000000 OTHER 0.000006 OTHER
AL123456_3907403_3907528 0.023323 OTHER 0.032509 OTHER
AL123456_4105673_4105862 0.000000 OTHER 0.000000 OTHER
AL123456_665510_665755 0.004531 OTHER 0.011252 OTHER
AL123456_759587_759784 0.000013 OTHER 0.000000 OTHER
AL123456_780991_781074 0.000000 OTHER 0.000000 OTHER
AL123456_789629_789782 0.463936 OTHER 0.967911 RNA
AL123456_937960_938247 0.030728 OTHER 0.053733 OTHER
AL123456_968275_968389 0.003005 OTHER 0.014698 OTHER
AM180355_102373_102483 0.003553 OTHER 0.000002 OTHER
AM180355_102790_102883 0.993407 RNA 0.969439 RNA
AM180355_1028374_1028482 0.973239 RNA 0.886861 RNA
AM180355_1030347_1030461 0.848247 RNA 0.265238 OTHER
AM180355_1159865_1160106 0.028637 OTHER 0.000000 OTHER
AM180355_122676_122768 0.635504 RNA 0.000000 OTHER
AM180355_1250740_1250839 0.997656 RNA 0.998751 RNA
AM180355_1251683_1251771 0.007818 OTHER 0.958652 RNA
AM180355_1259865_1260134 0.999898 RNA 0.035688 OTHER
AM180355_130443_130526 NA NA NA NA
AM180355_1333792_1333893 0.000000 OTHER 0.000003 OTHER
AM180355_1335188_1335298 0.773084 RNA 0.352541 OTHER
AM180355_1348594_1348686 0.005035 OTHER 0.817727 RNA
AM180355_1354005_1354131 0.000000 OTHER 0.000000 OTHER
AM180355_1356810_1356875 0.000000 OTHER 0.000006 OTHER
AM180355_1361115_1361217 0.925791 RNA 0.390863 OTHER
AM180355_1361158_1361232 0.690934 RNA 0.292406 OTHER
AM180355_1364133_1364205 0.169175 OTHER 0.886520 RNA
AM180355_1412453_1412596 0.444719 OTHER 0.007889 OTHER
AM180355_1412471_1412596 0.183424 OTHER 0.058882 OTHER
AM180355_1448206_1448299 0.992809 RNA 0.998137 RNA
AM180355_1457769_1457835 0.928363 RNA 0.720195 RNA
AM180355_174219_174392 0.689331 RNA 0.891933 RNA
AM180355_1760814_1761142 0.874155 RNA 0.999932 RNA
