RUF_ID	Z_Score(+)	Z_Score(-)
AE006641_105154_105249	-5.2	-4.9
AE006641_1184670_1184784	1.5	-0.1
AE006641_2033485_2033587	1.4	1.4
AE006641_2137185_2137263	-1.0	0
AE006641_2191896_2192032	0	0
AE006641_2411637_2411800	0	0
AE006641_2952841_2953031	-0.9	0
AE006641_509340_509467	1.1	0.1
AE006641_595498_595590	-5.0	-4.0
AE006641_597695_597863	0	0
AE006641_749342_749417	-0.7	-1.1
AE006641_789531_789657	0	0
AE006641_807535_807619	0.8	1.9
AE009950_1226087_1226249	-5.5	-5.1
AE009950_1285094_1285168	0	0
AE009950_136703_136901	-5.2	-4.0
AE009950_1793377_1793476	0	0
AE009950_234518_234644	-7.3	-4.7
AE009950_258918_259053	0.1	0.2
AE009950_505155_505346	-1.9	-1.6
AE009950_505722_505820	-4.0	-3.3
AE017199_113561_113655	1.0	1.0
AE017199_145930_146042	0.8	1.3
AE017199_164078_164168	0	1.2
AE017199_328870_328986	0.4	-0.0
AE017199_334558_334634	-1.6	0.3
AE017199_339351_339700	-4.2	-3.0
AE017199_375319_375397	0	-0.2
AE017199_382303_382481	-1.2	-2.1
AE017199_384207_384270	0.5	0.1
AE017199_432080_432287	-6.2	-5.7
CP000678_1015871_1015955	0	1.7
CP000678_1034892_1034987	0	-0.6
CP000678_1050048_1050310	-2.7	-3.2
CP000678_1059585_1059827	-6.1	0
CP000678_1374373_1374490	-0.1	0.4
CP000678_1397468_1397598	0	0
CP000678_1454738_1454935	-6.5	-4.5
CP000678_1455377_1455470	0.3	0.8
CP000678_1599690_1599766	-0.2	-0.3
CP000678_181903_181984	0.2	0.5
CP000678_182235_182379	1.1	-1.3
CP000678_185321_185434	-1.6	-1.0
CP000678_191068_191237	0	0
CP000678_27095_27313	-2.3	-2.5
CP000678_329870_330028	-3.0	-1.5
CP000678_332995_333326	0	-1.4
CP000678_333398_333480	-0.3	-1.0
CP000678_359950_360320	0	0
CP000678_459764_459973	-1.6	-2.1
CP000678_515790_516060	0	-3.0
CP000678_516230_516294	-1.8	-2.9
CP000678_516411_516560	-1.3	-1.5
CP000678_561274_561508	-3.1	-2.7
CP000678_602211_602281	0.2	0
CP000678_603955_604113	-2.4	-4.0
CP000678_647403_647476	-0.9	-0.7
CP000678_679686_679793	0.9	1.1
CP000678_713263_713391	-4.4	-3.0
CP000678_722575_722914	-2.4	-3.3
CP000678_732089_732141	-1.8	0.5
CP000678_744891_745010	-2.0	-0.7
CP000678_765524_765869	-3.9	-3.0
CP000678_7765_7975	-1.4	-0.1
CP000678_785702_785840	-0.3	-0.4
CP000678_859185_859257	-6.0	-2.7
CP000678_878387_878533	-2.8	-3.0
CP000678_924001_924080	0.8	0.2
CP000816_1000655_1000815	-3.7	-3.3
