RUF_ID	RNAfold_pvalue	RNALfold_pvalue
AE000511_1006530_1006664	0.7036224	0.7036224
AE000511_1008391_1008462	0.6436847	0.6436847
AE000511_1034648_1034747	0.5702777	0.5702777
AE000511_1199651_1199763	0.5016579	0.5016579
AE000511_1209411_1209645	0.07679929	0.2352795
AE000511_1227439_1227530	0.1093319	0.1093319
AE000511_1278192_1278309	0.932691	0.932691
AE000511_1282387_1282578	0.5222388	0.8098139
AE000511_1351583_1351730	0.6649245	0.6649245
AE000511_1365213_1365400	0.7225269	0.6304372
AE000511_1394945_1395155	0.3440238	0.2535453
AE000511_1398771_1399035	0.7940053	0.6469137
AE000511_1398841_1399030	0.1854137	0.1895662
AE000511_1427602_1427687	0.2840032	0.2840032
AE000511_1470879_1471014	0.9079679	0.9079679
AE000511_1482857_1482974	0.2038749	0.2038749
AE000511_1508255_1508464	0.6514113	0.5397155
AE000511_1540580_1540696	0.1523421	0.1523421
AE000511_1564415_1564520	0.9043891	0.9043891
AE000511_1580192_1580321	0.6997879	0.6997879
AE000511_1584291_1584446	0.07775633	0.07657437
AE000511_1640326_1640455	0.5306621	0.5306621
AE000511_1644981_1645223	0.2586069	0.1316011
AE000511_1653767_1653856	0.6235777	0.6235777
AE000511_240146_240245	0.3151304	0.3151304
AE000511_240254_240587	0.1444315	0.09973448
AE000511_241083_241192	0.6139185	0.6139185
AE000511_255394_255584	0.7729556	0.7161054
AE000511_439166_439283	0.3425771	0.3425771
AE000511_444943_445231	0.4878246	0.5380777
AE000511_448247_448391	0.01438222	0.01438222
AE000511_568287_568557	0.4866685	0.5073921
AE000511_595499_595601	0.3091141	0.3091141
AE000511_77954_78089	0.6998306	0.6998306
AE000511_816171_816360	0.8152698	0.7425017
AE000511_860273_860356	0.4892333	0.4892333
AE000511_920356_920416	0.9042753	0.9042753
AE000511_938188_938414	0.6960684	0.6723107
AE000511_97062_97251	0.175049	0.1112996
AE001363_1002113_1002414	0.4529191	0.3093323
AE001363_1005276_1005392	0.09912556	0.09912556
AE001363_461496_461553	0.3965886	0.3965886
AE001363_642859_643027	0.4687425	0.4286556
AE001363_643304_643448	0.01644585	0.01644585
AE001363_668156_668405	0.707958	0.6064169
AE001363_710138_710483	0.04300125	0.1270425
AE001363_841901_841974	0.4237834	0.4237834
AE004969_1003915_1004233	0.05950628	0.07352852
AE004969_1044285_1044446	0.7987891	0.7746089
AE004969_1172519_1172726	0.7759388	0.6320325
AE004969_1248800_1249110	0.03332464	0.09808436
AE004969_1389064_1389198	0.7572602	0.7572602
AE004969_1552230_1552595	0.2120681	0.2791747
AE004969_1609806_1610150	0.1492803	0.2418489
AE004969_1629233_1629572	0.9698565	0.8722962
AE004969_163026_163143	0.2772745	0.2772745
AE004969_1795979_1796180	0.4135984	0.3106205
AE004969_1801757_1801980	0.6425309	0.5467404
AE004969_1808870_1808959	0.2666424	0.2666424
AE004969_1824176_1824235	0.7396179	0.7396179
AE004969_1824733_1824963	0.6873729	0.6173473
AE004969_1826091_1826193	0.6619243	0.6619243
AE004969_1828389_1828442	0.4642471	0.4642471
AE004969_1881076_1881197	0.1974282	0.1974282
AE004969_1994807_1995171	0.3024389	0.1191386
