Species	EMBL	Experiment_ID	Dataset_ID	Strand_Correlation	Core_CDS_On	Core_Rfam_On	Annot_Concordance	Coverage	Fraction_mapped_reads
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516325	0.9158945	0.85	0.786885	0.711673	0.3516	0.95466837437596092584
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516336	0.9256339	0.85	0.836066	0.693609	0.3231	0.94101433333851652887
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516348	0.918733	0.85	0.934426	0.647422	0.2818	0.98126493696995391710
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516356	0.9004701	0.85	0.868852	0.749628	0.3668	0.95857317561420317734
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516361	0.9185545	0.85	0.868852	0.665943	0.3012	0.95250557958453555150
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516369	0.9169739	0.875	0.836066	0.680348	0.3754	0.95747756488053435548
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208051	-0.002775227	0.775	1	0.780981	0.0828	0.43066456478189219340
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208052	-0.001137985	0.475	0.98	0.18316	0.0171	0.05576199565364067361
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208053	-0.001120274	0.575	0.98	0.179293	0.0167	0.05507527203735893582
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208054	0.6032666	0.55	0.98	0.914748	0.9721	0.94079149395075692511
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208055	0.2846537	0	0	1	1.0000	0.91505836377332374437
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208056	0.6506846	0.45	1	0.882229	0.9652	0.94644651250618514367
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208057	0.1232232	0	0	1	1.0000	0.91967449008299009633
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208058	0.3747217	0	0.82	0.993496	0.9986	0.80116940605101040072
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208059	0.3393227	0	0	0.970294	0.9982	0.90753729656214731906
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308187	-0.01060053	0.75	0.875	0.932289	0.4990	0.10436194412610559746
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308188	-0.002833039	0.2	0.875	0.895039	0.3134	0.07419657773873388599
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308189	-0.01503079	0.275	0.875	0.911053	0.4773	0.05255662725151355542
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308190	-0.01180385	0.3	0.875	0.893821	0.3234	0.05445516863573026918
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308191	-0.004423372	0.5	0.875	0.913664	0.4438	0.07645276178544247028
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308192	-0.007414365	0.7	0.875	0.782942	0.1889	0.03385290642469288597
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308193	-0.007136245	0.775	0.875	0.896084	0.1323	0.03269186338632666676
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308194	-0.009158498	0.8	0.875	0.848738	0.2457	0.03875296827472824645
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030761	-0.001451163	0.725	0.333333	0.364748	0.0501	0.58548197663649372352
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030762	-0.00338626	0.875	0.645833	0.792434	0.1554	0.63159159804101213332
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030763	-0.002343675	0.8	0.354167	0.891407	0.1655	0.61268035847467573075
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030764	0.7363062	0.85	0.270833	0.50481	0.0405	0.62820711617359579586
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030765	0.8013882	0.9	0.291667	0.477417	0.1042	0.75751317066895923647
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030766	0.798936	0.85	0.375	0.432415	0.0259	0.72457260317764044757
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030767	0.8420366	0.775	0.354167	0.563346	0.0401	0.79109241161524305302
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030768	0.8401914	0.675	0.625	0.725909	0.0212	0.68878502843110107934
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527852	-0.001571767	0.775	0.927711	0.242108	0.0181	0.31138890445278669366
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527853	-0.0006275343	0.575	0.86747	0.0864772	0.0075	0.06952697105327460948
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527854	-0.001656947	0.775	0.903614	0.182404	0.0154	0.34830944238419997416
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527855	-0.001084257	0.7	0.903614	0.136517	0.0104	0.19957564074366372116
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441716	0.870624	0.925	0.386364	0.67343	0.4825	0.95007734657542684339
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441716	0.9226032	0.5	0.388889	0.559633	0.4825	0.95007734657542684339
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441717	0.8563123	0.9	0.431818	0.661581	0.2106	0.94884303028449677338
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441717	0.9054192	0.4375	0.444444	0.481382	0.2106	0.94884303028449677338
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441718	0.9433832	0.875	0.431818	0.458043	0.0363	0.90761169191005804584
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441718	0.9444388	0.15625	0.388889	0.226659	0.0363	0.90761169191005804584
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441719	0.8668125	0.9	0.363636	0.620029	0.3299	0.94099997151485470960
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441719	0.8954828	0.375	0.388889	0.537507	0.3299	0.94099997151485470960
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441716	0.870624	0.925	0.386364	0.67343	0.4825	0.95007734657542684339
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441716	0.9226032	0.5	0.388889	0.559633	0.4825	0.95007734657542684339
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441717	0.8563123	0.9	0.431818	0.661581	0.2106	0.94884303028449677338
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441717	0.9054192	0.4375	0.444444	0.481382	0.2106	0.94884303028449677338
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441718	0.9433832	0.875	0.431818	0.458043	0.0363	0.90761169191005804584
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441718	0.9444388	0.15625	0.388889	0.226659	0.0363	0.90761169191005804584
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441719	0.8668125	0.9	0.363636	0.620029	0.3299	0.94099997151485470960
Rhodobacter_sphaeroides	CP000143.1	SRP011373	SRR441719	0.8954828	0.375	0.388889	0.537507	0.3299	0.94099997151485470960
Pyrococcus_furiosus	AE009950.1	SRX015089	SRR032433	-0.0003144548	0.717949	0.886364	0.346544	0.0644	0.30491287560904858893
Pyrococcus_furiosus	AE009950.1	SRX103303	SRR358786	0.001182013	0	0.0227273	0.0168203	0.0083	0.01086472779535298636
Pyrococcus_furiosus	AE009950.1	SRX103304	SRR358787	-0.0005435621	0.615385	0.977273	0.525806	0.0567	0.17508790324677760880
Pseudomonas_putida_KT2440	AE015451.1	SRP003636	SRR066731	0.2103128	0.871795	0.283951	0.165226	0.0267	0.40900524902604570997
Pseudomonas_putida_KT2440	AE015451.1	SRP003636	SRR066732	0.2688997	0.820513	0.37037	0.210739	0.0272	0.43629723600205942799
