Species	EMBL	Experiment_ID	Dataset_ID	Strand_Correlation	Core_CDS_On	Core_Rfam_On	PPV	Specificity	Coverage	Fraction_mapped_reads
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516325	0.9158945	0.85	0.786885	0.879479	0.547612	0.3516	0.95466837437596092584
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516336	0.9256339	0.85	0.836066	0.880034	0.526208	0.3231	0.94101433333851652887
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516348	0.918733	0.85	0.934426	0.883385	0.572373	0.2818	0.98126493696995391710
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516356	0.9004701	0.85	0.868852	0.876904	0.553877	0.3668	0.95857317561420317734
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516361	0.9185545	0.85	0.868852	0.876341	0.530222	0.3012	0.95250557958453555150
Xanthomonas_citri_subsp._citri_306	AE008923.1	SRP013943	SRR516369	0.9169739	0.875	0.836066	0.879131	0.556402	0.3754	0.95747756488053435548
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208051	-0.002775227	0.775	1	0.898258	0.351687	0.0828	0.43066456478189219340
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208052	-0.001137985	0.475	0.98	0.893973	0.000000	0.0171	0.05576199565364067361
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208053	-0.001120274	0.575	0.98	0.893973	0.000000	0.0167	0.05507527203735893582
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208054	0.6032666	0.55	0.98	0.865341	0.359783	0.9721	0.94079149395075692511
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208055	0.2846537	0	0	0.847141	0.268840	1.0000	0.91505836377332374437
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208056	0.6506846	0.45	1	0.863885	0.354994	0.9652	0.94644651250618514367
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208057	0.1232232	0	0	0.878570	0.418697	1.0000	0.91967449008299009633
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208058	0.3747217	0	0.82	0.885558	0.452527	0.9986	0.80116940605101040072
Synechococcus_elongatus_PCC_7942	CP000100.1	SRP006795	SRR208059	0.3393227	0	0	0.932550	0.678816	0.9982	0.90753729656214731906
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308187	-0.01060053	0.75	0.875	0.892639	0.507213	0.4990	0.10436194412610559746
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308188	-0.002833039	0.2	0.875	0.893470	0.510341	0.3134	0.07419657773873388599
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308189	-0.01503079	0.275	0.875	0.894948	0.538317	0.4773	0.05255662725151355542
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308190	-0.01180385	0.3	0.875	0.892817	0.495987	0.3234	0.05445516863573026918
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308191	-0.004423372	0.5	0.875	0.900867	0.566399	0.4438	0.07645276178544247028
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308192	-0.007414365	0.7	0.875	0.899450	0.530214	0.1889	0.03385290642469288597
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308193	-0.007136245	0.775	0.875	0.898951	0.508207	0.1323	0.03269186338632666676
Synechococcus_elongatus_PCC_7002	CP000951.1	SRP007372	SRR308194	-0.009158498	0.8	0.875	0.899070	0.540633	0.2457	0.03875296827472824645
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030761	-0.001451163	0.725	0.333333	0.852350	0.000000	0.0501	0.58548197663649372352
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030762	-0.00338626	0.875	0.645833	0.905748	0.586221	0.1554	0.63159159804101213332
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030763	-0.002343675	0.8	0.354167	0.904496	0.643291	0.1655	0.61268035847467573075
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030764	0.7363062	0.85	0.270833	0.852350	0.000000	0.0405	0.62820711617359579586
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030765	0.8013882	0.9	0.291667	0.909152	0.587860	0.1042	0.75751317066895923647
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030766	0.798936	0.85	0.375	0.852350	0.000000	0.0259	0.72457260317764044757
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030767	0.8420366	0.775	0.354167	0.913633	0.692650	0.0401	0.79109241161524305302
Sulfolobus_solfataricus_P2	AE006641.1	SRP001461	SRR030768	0.8401914	0.675	0.625	0.887220	0.545405	0.0212	0.68878502843110107934
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527852	-0.001571767	0.775	0.927711	0.906766	0.000000	0.0181	0.31138890445278669366
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527853	-0.0006275343	0.575	0.86747	0.906766	0.000000	0.0075	0.06952697105327460948
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527854	-0.001656947	0.775	0.903614	0.906766	0.000000	0.0154	0.34830944238419997416
Stenotrophomonas_maltophilia	AM743169.1	SRP014598	SRR527855	-0.001084257	0.7	0.903614	0.906766	0.000000	0.0104	0.19957564074366372116
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR064320	-0.002695257	0.769231	1	0.875621	0.428043	0.1599	0.16428442961683902735
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR064321	-0.0009520811	0.692308	0.984848	0.859854	0.000000	0.0241	0.02174849964688900385
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR064322	-0.001574531	0.769231	1	0.878321	0.544643	0.0858	0.10254568519920742631
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR388335	9.471536e-05	0.74359	1	0.867020	0.464568	0.0936	0.12233227767149988154
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR397556	0.8487521	0.897436	0.969697	0.927071	0.738137	0.6725	0.95564364228692369952
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR397557	0.8504917	0.923077	0.969697	0.927483	0.741046	0.7444	0.94278763601362732821
Staphylococcus_aureus_subsp._aureus_15981	CP000253.1	SRP003288	SRR397558	0.8516666	0.923077	0.939394	0.923873	0.728304	0.7331	0.96669425879144520842
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441716	0.9226032	0.5	0.388889	0.911655	0.563753	0.2362	0.95007734657542684339
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441717	0.9054192	0.4375	0.444444	0.907647	0.584649	0.0936	0.94884303028449677338
Rhodobacter_sphaeroides	CP000144.1	SRP011373	SRR441718	0.9444388	0.15625	0.388889	0.883283	0.000000	0.0305	0.90761169191005804584
